ID,Date,Glu_I,Ca_I,Cr_I,Na,K,Cl,CO2,BUN,Cr_Z,Glu_Z,Ca_Z,An,HCT,Hb,Mass,WC,Cul,HB,Plas.mass,Plas.num,Plas.FO,Year,Plastic,glucose
162-89521,2/05/2025,NA,NA,NA,145,3.6,114,21,<3,<0.2,278,1.29,14,39,13.3,735,300,95.1,40.8,0.0587,2,1,2025,Low Plastic,278
162-89524,2/05/2025,NA,NA,NA,146,3.6,120,20,<3,<0.2,301,1.38,11,40,13.6,645,291,90.1,38.4,0,0,0,2025,Low Plastic,301
162-89525,2/05/2025,NA,NA,NA,144,3.3,115,21,<3,<0.2,327,1.24,12,37,12.6,565,295,93.5,41.9,2.3727,55,1,2025,High Plastic,327
162-89527,2/05/2025,NA,NA,NA,144,3.5,119,19,<3,<0.2,292,1.34,10,39,13.3,685,306,92.1,40.4,6.2491,118,1,2025,High Plastic,292
162-89539,3/05/2025,NA,NA,NA,145,3.4,118,20,<3,<0.2,300,1.38,11,44,15,620,300,89.4,38.6,0.0257,2,1,2025,Low Plastic,300
162-89545,3/05/2025,NA,NA,NA,145,3.3,110,29,<3,<0.2,278,1.11,11,40,13.6,560,285,94.5,41,0,0,0,2025,Low Plastic,278
162-89547,3/05/2025,NA,NA,NA,153,3.7,128,18,8,<0.2,344,1.33,12,34,11.6,585,289,90.7,37.1,0.2824,3,1,2025,High Plastic,344
162-89550,3/05/2025,NA,NA,NA,144,2.8,119,17,<3,<0.2,339,1.31,12,35,11.9,615,298,95.3,41.9,1.1676,21,1,2025,High Plastic,339
380-02002,3/05/2025,NA,NA,NA,146,3.8,121,20,<3,<0.2,301,1.29,10,39,13.3,725,307,97.7,41,4.1656,21,1,2025,High Plastic,301
380-02004,4/05/2025,NA,NA,NA,146,3.2,126,18,<3,0.2,268,1.34,6,36,12.2,630,292,89.7,38.3,0.5968,9,1,2025,High Plastic,268
380-02005,4/05/2025,NA,NA,NA,145,3.4,118,20,<3,0.3,262,1.38,11,31,10.5,595,270,91,40.6,0.1378,11,1,2025,High Plastic,262
380-02006,4/05/2025,NA,NA,NA,144,3.7,118,22,<3,<0.2,305,1.26,9,41,13.9,610,300,94.4,42.1,0.0176,2,1,2025,Low Plastic,305
380-02007,4/05/2025,NA,NA,NA,145,3.3,118,19,<3,<0.2,314,1.35,12,34,11.6,645,315,94.2,41.6,0,0,0,2025,Low Plastic,314
380-02009,4/05/2025,NA,NA,NA,121,4.4,72,45,<3,0.6,276,0.92,10,39,13.3,615,303,94.5,41.8,55.3903,399,1,2025,High Plastic,276
380-02011,4/05/2025,NA,NA,NA,144,4.1,118,21,<3,<0.2,298,1.23,10,37,12.6,690,313,98.8,41.3,0,0,0,2025,Low Plastic,298
380-02012,4/05/2025,NA,NA,NA,145,3.9,122,21,<3,<0.2,298,1.17,7,38,12.9,605,318,97.2,42,0,0,0,2025,Low Plastic,298
NL-2025-15,4/05/2025,NA,NA,NA,144,6.5,120,23,6,0.4,156,1.26,9,24,8.2,260,246,91.3,39.3,9.5554,62,1,2025,High Plastic,156
380-02013,5/05/2025,NA,NA,NA,142,3.5,117,21,<3,<0.2,276,1.2,9,34,11.6,750,279,97.2,41,17.9183,181,1,2025,High Plastic,276
380-02015,5/05/2025,NA,NA,NA,133,3.2,95,27,<3,0.2,320,1.08,16,37,12.6,610,292,93,39.5,32.1629,174,1,2025,High Plastic,320
380-02019,5/05/2025,NA,NA,NA,140,3.3,100,28,<3,0.2,238,1.17,16,45,15.3,635,284,87.2,37.4,37.3035,350,1,2025,High Plastic,238
NL-2025-20,5/05/2025,NA,NA,NA,151,4.2,124,19,<3,<0.2,197,1.29,13,41,13.9,400,293,91.6,40.5,26.9774,416,1,2025,High Plastic,197
NL-2025-21,6/05/2025,NA,NA,NA,145,3.4,114,20,<3,<0.2,269,1.24,15,36,12.2,660,306,96.9,44.1,36.5284,351,1,2025,High Plastic,269
NL-2025-22,6/05/2025,NA,NA,NA,153,4.2,123,22,<3,<0.2,229,1.43,13,43,14.6,565,309,90.6,39.8,35.0925,179,1,2025,High Plastic,229
NL-2025-23,6/05/2025,NA,NA,NA,155,4.4,129,19,7,0.2,205,1.37,13,37,12.6,535,305,91.7,39.4,24.3019,427,1,2025,High Plastic,205
NL-2025-24,6/05/2025,NA,NA,NA,148,5.1,122,21,<3,<0.2,205,1.28,11,41,13.9,490,297,97.7,43.3,26.7003,516,1,2025,High Plastic,205
NL-2025-25,6/05/2025,NA,NA,NA,145,4.9,116,21,<3,<0.2,187,1.23,13,44,15,535,303,86.1,37.9,42.7896,364,1,2025,High Plastic,187
NL-2025-26,6/05/2025,NA,NA,NA,148,5,120,21,<3,<0.2,201,1.39,13,39,13.3,680,296,98.5,42.1,34.6518,260,1,2025,High Plastic,201
380-02025,7/05/2025,NA,NA,NA,147,3.4,117,20,<3,<0.2,302,1.26,14,40,13.6,535,294,99,44.1,13.9067,130,1,2025,High Plastic,302
NL-2025-27,7/05/2025,NA,NA,NA,149,4.3,123,19,<3,<0.2,257,1.29,12,39,13.3,640,306,95.2,42.8,41.3121,384,1,2025,High Plastic,257
NL-2025-29,7/05/2025,NA,NA,NA,145,4.5,112,26,<3,0.2,269,1.24,13,44,15,355,276,100.7,40.9,0,0,0,2025,Low Plastic,269
380-02032,8/05/2025,NA,NA,NA,137,4.5,101,33,<3,0.2,219,1.09,9,50,17,515,302,88.7,38.2,35.1081,248,1,2025,High Plastic,219
NL-2025-35,8/05/2025,NA,NA,NA,146,4.5,124,21,<3,<0.2,217,1.24,6,43,14.6,515,300,97.5,37.9,43.0883,334,1,2025,High Plastic,217
